Label,Left_start,Left_end,Right_start,Right_end
12,158.1119,158.1119,120.5135,120.5135
12,160.7461,160.7461,122.3205,122.3205
12,161.5461,162.3461,123.1205,123.9205
12,163.2261,163.9061,124.8005,125.4805
12,164.7461,165.5861,126.3205,127.1605
1,170.9061,172.7861,132.4805,134.3605
2,172.8261,173.4261,134.4005,135.0005
3,173.5861,177.5061,135.1605,139.0805
5,177.7861,201.4661,139.3605,163.0405
4,204.3861,208.3861,165.9605,169.9605
11,211.2661,220.5461,172.8405,182.1205
2,221.9861,224.0661,183.5605,185.6405
6,226.9861,229.3061,188.5605,190.8805
11,229.9061,240.1061,191.4805,201.6805
8,241.1461,252.3861,202.7205,213.9605
3,252.4261,255.9461,214.0005,217.5205
5,257.4661,278.3461,219.0405,239.9205
4,279.5061,284.2661,241.0805,245.8405
9,286.5061,288.1861,248.0805,249.7605
8,288.3461,299.2261,249.9205,260.8005
3,299.3461,302.7461,260.9205,264.3205
5,308.0261,318.0661,269.6005,279.6405
4,319.6661,323.5061,281.2405,285.0805
6,325.1461,327.5061,286.7205,289.0805
8,328.1861,331.1461,289.7605,292.7205
3,331.2261,335.2261,292.8005,296.8005
5,342.0261,347.9461,303.6005,309.5205
4,354.1861,358.3461,315.7605,319.9205
7,358.7061,360.1861,320.2805,321.7605
8,361.6261,363.4261,323.2005,325.0005
3,363.4661,366.2661,325.0405,327.8405
5,366.7061,386.3461,328.2805,347.9205
4,388.0261,392.0261,349.6005,353.6005
6,393.2261,397.4261,354.8005,359.0005
3,397.5861,401.3461,359.1605,362.9205
5,408.2661,419.1461,369.8405,380.7205
4,420.7061,425.3861,382.2805,386.9605
12,430.3461,431.1461,391.9205,392.7205
12,432.0261,432.7061,393.6005,394.2805
12,433.6661,434.4661,395.2405,396.0405
12,435.3861,436.2261,396.9605,397.8005
12,437.1061,437.9461,398.6805,399.5205
7,442.7061,444.6261,404.2805,406.2005
8,445.3061,449.7461,406.8805,411.3205
3,450.1861,455.5061,411.7605,417.0805
5,456.3461,464.7061,417.9205,426.2805
11,465.0261,498.6261,426.6005,460.2005
4,501.4261,505.3061,463.0005,466.8805
6,505.4661,506.9461,467.0405,468.5205
1,507.0261,508.4261,468.6005,470.0005
2,508.5461,508.6261,470.1205,470.2005
3,508.9861,511.7061,470.5605,473.2805
5,512.1861,552.1461,473.7605,513.7205
4,552.7861,557.5061,514.3605,519.0805
2,557.9461,558.9061,519.5205,520.4805
11,559.9061,561.9861,521.4805,523.5605
3,566.7861,569.7461,528.3605,531.3205
5,573.1461,588.1461,534.7205,549.7205
4,589.9061,593.3461,551.4805,554.9205
6,595.5061,598.7861,557.0805,560.3605
3,598.8661,602.3061,560.4405,563.8805
5,602.7061,633.9461,564.2805,595.5205
4,635.2261,648.8661,596.8005,610.4405
3,649.7461,654.8261,611.3205,616.4005
4,664.9061,668.0661,626.4805,629.6405
9,668.7061,670.4261,630.2805,632.0005
8,670.4261,672.6661,632.0005,634.2405
3,672.7061,675.9061,634.2805,637.4805
5,676.2261,701.1461,637.8005,662.7205
4,702.4661,705.8261,664.0405,667.4005
6,707.3461,710.6661,668.9205,672.2405
11,710.7461,712.7461,672.3205,674.3205
12,719.1861,720.0261,680.7605,681.6005
12,721.0261,721.8261,682.6005,683.4005
12,722.7461,723.4661,684.3205,685.0405
12,724.3061,725.1061,685.8805,686.6805
12,725.9461,726.7861,687.5205,688.3605
3,734.3061,737.5461,695.8805,699.1205
5,739.1061,770.4261,700.6805,732.0005
4,771.7061,775.2261,733.2805,736.8005
1,777.7061,780.6661,739.2805,742.2405
2,781.3061,782.5861,742.8805,744.1605
3,782.6261,785.4661,744.2005,747.0405
5,787.3861,825.0661,748.9605,786.6405
4,826.3861,830.9861,787.9605,792.5605
2,831.6661,833.1061,793.2405,794.6805
11,833.7061,835.1461,795.2805,796.7205
6,837.9461,842.4661,799.5205,804.0405
3,843.2261,848.3461,804.8005,809.9205
5,849.1461,886.4661,810.7205,848.0405
4,887.9861,891.2261,849.5605,852.8005
7,892.8261,893.8661,854.4005,855.4405
8,894.1861,896.9461,855.7605,858.5205
3,897.0261,900.4661,858.6005,862.0405
5,900.9861,941.1861,862.5605,902.7605
4,942.4261,946.1061,904.0005,907.6805
8,946.7861,947.8261,908.3605,909.4005
6,948.5861,951.9861,910.1605,913.5605
8,952.3461,954.6661,913.9205,916.2405
3,954.5061,958.6261,916.0805,920.2005
11,957.4261,970.1061,919.0005,931.6805
5,972.4261,1016.6261,934.0005,978.2005
11,1017.5461,1020.7461,979.1205,982.3205
4,1022.4661,1026.6261,984.0405,988.2005
8,1027.6661,1028.7061,989.2405,990.2805
9,1028.7461,1031.3061,990.3205,992.8805
8,1032.1461,1035.1861,993.7205,996.7605
3,1035.2261,1038.1461,996.8005,999.7205
5,1040.5061,1068.9861,1002.0805,1030.5605
4,1070.4261,1075.1061,1032.0005,1036.6805
8,1075.1461,1077.0661,1036.7205,1038.6405
6,1078.7861,1080.1861,1040.3605,1041.7605
1,1080.6661,1081.9061,1042.2405,1043.4805
11,1082.9861,1084.2261,1044.5605,1045.8005
12,1093.5461,1094.4661,1055.1205,1056.0405
12,1095.4261,1096.2261,1057.0005,1057.8005
12,1097.1461,1097.9461,1058.7205,1059.5205
12,1098.8261,1099.5861,1060.4005,1061.1605
12,1100.4261,1101.3061,1062.0005,1062.8805
1,1109.4261,1110.9061,1071.0005,1072.4805
2,1110.9461,1111.5861,1072.5205,1073.1605
3,1111.6661,1114.7461,1073.2405,1076.3205
5,1115.0261,1206.9061,1076.6005,1168.4805
4,1208.6261,1212.8261,1170.2005,1174.4005
2,1213.6261,1215.3061,1175.2005,1176.8805
6,1216.3461,1217.3461,1177.9205,1178.9205
7,1217.3861,1218.1861,1178.9605,1179.7605
8,1218.8661,1224.8261,1180.4405,1186.4005
3,1224.9061,1228.0661,1186.4805,1189.6405
11,1227.1061,1240.1861,1188.6805,1201.7605
5,1243.0261,1264.4261,1204.6005,1226.0005
4,1265.7461,1268.8261,1227.3205,1230.4005
9,1269.9861,1278.7461,1231.5605,1240.3205
6,1279.3461,1280.9461,1240.9205,1242.5205
8,1281.5061,1284.0261,1243.0805,1245.6005
3,1284.1461,1286.5461,1245.7205,1248.1205
5,1287.2261,1323.5861,1248.8005,1285.1605
4,1325.1061,1328.7461,1286.6805,1290.3205
3,1329.2261,1330.3461,1290.8005,1291.9205
4,1330.4261,1333.4261,1292.0005,1295.0005
8,1346.1861,1348.5061,1307.7605,1310.0805
9,1348.5861,1349.8661,1310.1605,1311.4405
8,1350.4261,1353.2661,1312.0005,1314.8405
3,1353.3061,1355.5861,1314.8805,1317.1605
5,1356.0661,1386.1061,1317.6405,1347.6805
4,1387.1861,1390.1861,1348.7605,1351.7605
8,1390.9461,1391.7861,1352.5205,1353.3605
6,1392.1061,1393.7861,1353.6805,1355.3605
8,1394.0261,1395.5461,1355.6005,1357.1205
3,1395.5861,1398.0661,1357.1605,1359.6405
5,1401.5061,1426.8261,1363.0805,1388.4005
4,1428.7461,1432.9861,1390.3205,1394.5605
6,1433.8661,1435.7861,1395.4405,1397.3605
3,1435.9461,1440.5461,1397.5205,1402.1205
5,1440.5861,1483.4661,1402.1605,1445.0405
4,1484.4661,1488.5861,1446.0405,1450.1605
